"tenCongTy","linkCongTy","quyMo","gioiThieuCT","linkJob","tenJob","hanNopHoSo","mucLuong","hinhThucLamViec","gioiTinh","soLuongTuyen","capBac","kinhNghiem","diaDiemLamViec","moTaCongViec","yeuCauUngVien","quyenLoi","Image","diaChiCongTy"
"Công ty Cổ phần Thời Trang Yody"," "," "," ","https://www.topcv.vn/brand/yody/tuyen-dung/chuyen-vien-kiem-thu-phan-mem-tester-j928866.html?ta_source=JobSearchList","Chuyên Viên Kiểm Thử Phần Mềm (Tester)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN VÀ CÔNG NGHỆ HẢI NAM"," "," 100-499 nhân viên","<p>CHÀO MỪNG BẠN ĐẾN VỚI HẢI NAM REALTECH
</p>","https://www.topcv.vn/viec-lam/nhan-vien-trien-khai-du-an-cntt-thu-nhap-15-trieu-tai-tuyen-quang/922875.html?ta_source=JobSearchList","Nhân Viên Triển Khai Dự Án CNTT Thu Nhập 15 Triệu Tại Tuyên Quang"," Hạn nộp hồ sơ: 07/03/2023","10-15 triệu","Toàn thời gian","Không yêu cầu","10 người","Nhân viên","1 năm","- Tuyên Quang: Số 418, đường Quang Trung, P. Phan Thiết, TP Tuyên Quang","<div class=""content-tab""><ul><li>Tư vấn đầu tư ứng dụng CNTT. Thực hiện các công việc có liên quan đến tư vấn lập và quản lý đầu tư dự án ứng dụng CNTT theo các quy định của nhà nước.
</li><li>Lập dự toán cho các dự án, hạng mục đầu tư ứng dụng CNTT
</li><li>Nghiên cứu sản phẩm, tư vấn giải pháp phần mềm, hệ thống ứng dụng CNTT
</li><li>Giải quyết các vấn đề về giải pháp công nghệ phát sinh trong quá trình tư vấn giải pháp và khi triển khai thực tế
</li><li>Kết hợp với các bộ phận kinh doanh gặp gỡ khách hàng, hỗ trợ triển khai Dự án.
</li><li>Viết giải pháp kỹ thuật cho thiết kế sơ bộ, thiết kế thi công, hồ sơ dự thầu…
</li><li>Thực hiện các công việc Quản lý dự án: Phối hợp các bên liên quan để lập kế hoạch theo dõi, kiểm tra việc thực hiện công việc, triển khai dự án, kiểm soát chất lượng dự án, kiểm soát các phần việc outsourcing do đối tác thực hiện
</li><li>Thiết lập quan hệ với các đối tác, hãng công nghệ cung cấp giải pháp.</li></ul></div>","<div class=""content-tab""><ul><li>Tốt nghiệp Đại học trở lên chuyên ngành CNTT (Tin học, Điện tử viễn thông, khoa học máy tính)
</li><li>Có kinh nghiệm trong công tác tư vấn đầu tư dự án CNTT (Tư vấn Lập, Quản lý dự án, giám sát, tư vấn thầu và các thủ tục liên quan)
</li><li>Ưu tiên người có kinh nghiệm tư vấn các dự án CNTT sử dụng vốn ngân sách. Khả năng làm việc độc lập, đi công tác tỉnh, chịu được áp lực công việc
</li><li>Ưu tiên ứng viên có kỹ năng mềm: khả năng giao tiếp, truyền đạt tốt; kỹ năng nghiên cứu, phân tích, xử lý vấn đề tốt; kỹ năng ra quyết định, đàm phán và thuyết phục;</li></ul></div>","<div class=""content-tab""><ul><li>Thu nhập: 10 - 15 triệu + thưởng, đánh giá tăng lương định kỳ hằng năm.
</li><li>Tham gia các buổi training của công ty về các kiến thức chuyên môn, kỹ năng tiếng Anh và các kỹ năng làm việc khác.
</li><li>Thưởng lễ, tết, tham gia chương trình team building, dã ngoại, sinh nhật thành viên.
</li><li>Lương tháng 13, nghỉ hằng năm và các phúc lợi khác theo quy định của pháp luật.
</li><li>Môi trường làm việc thân thiện, năng động.
</li><li>Công ty chi trả mọi chi phí phát sinh khi đi công tác</li></ul></div>","https://cdn.topcv.vn/80/company_logos/cong-ty-tnhh-mtv-bat-dong-san-va-cong-nghe-hai-nam-6205c72cb0a71.jpg"," "
"CÔNG TY CỔ PHẦN GIẢI PHÁP VÀ CÔNG NGHỆ VIETNIX","https://vietnix.vn/"," 25-99 nhân viên","<p>Công ty Cổ phần giải pháp và Công nghệ Vietnix</p>","https://www.topcv.vn/viec-lam/quan-tri-he-thong-junior/923902.html?ta_source=JobSearchList","Quản Trị Hệ Thống Junior"," Hạn nộp hồ sơ: 11/03/2023","Tới 12 triệu","Toàn thời gian","Nam","4 người","Nhân viên","Không yêu cầu kinh nghiệm","- Hồ Chí Minh: 265 Hồng Lạc, Phường 10, Tân Bình","<div class=""content-tab""><ul><li>Hỗ trợ khắc phục sự cố cho khách hàng khách hàng và quản lý hạ tầng.</li><li>Môi trường làm việc tương đối áp lực, công việc hằng ngày được tiếp xúc: Quản trị máy chủ Linux, hệ thống web server, mail server; Hệ thống hosting (VestaCP, Cpanel); Hệ thống VPS ảo hóa Proxmox, VMware; Hệ thống proxy và tham gia chống DoS/DDoS, cơ hội tham gia phát triển Openstack cloud,...</li><li>Tham gia phát triển các công nghệ/công cụ phục vụ cho công việc, các dự án về triển khai và quản trị hệ thống theo yêu cầu.</li><li>Tính chất công việc: Theo ca được phân công (Ngày 3 ca làm việc: 8h00 - 16h00 , 16h00 - 0h00 và 0h00 - 8h00)</li></ul></div>","<div class=""content-tab""><ul><li>Độ tuổi: 21 – 26</li><li>Năng động, có trách nhiệm với công việc.</li><li>Giao tiếp tốt, trung thực, phát âm rõ ràng.</li><li>Nhiệt tình, nhanh nhạy trong công việc, có khả năng chịu được áp lực công việc.</li><li>Sinh viên đang theo học hoặc tốt nghiệp lĩnh vực liên quan CNTT - KHMT, có đam mê và định hướng rõ ràng với công việc System Administrator, Linux System, Security và công việc quản trị hệ thống.</li><li>Sử dụng thành thạo Linux ở mức độ End User.</li><li>Nắm vững 1 ngôn ngữ lập trình bất kỳ (bash, python, php,..)</li><li>Ưu tiên các ứng viên có kinh nghiệm về triển khai LAMP/LEMP stack.</li><li>Có kiến thức căn bản về network, qua đào tạo CCNA, CCNP,... là một lợi thế.</li></ul></div>","<div class=""content-tab""><ul><li>Lương cơ bản: 6tr - 12tr tùy theo năng lực</li><li>Hỗ trợ ăn trưa, gửi xe.</li><li>Tham gia đầy đủ các chế độ BHYT, BHXH, BHTN.</li><li>Xét tăng lương 2 lần/năm, lương tháng 13, cùng nhiều chế độ thưởng khác nhau.</li><li>Teambuilding 2 lần/năm, nghỉ các ngày lễ tết, dịp đặc biệt của công ty.</li><li>Được học hỏi, đào tạo luôn không ngừng phát triển với nhiều cơ hội thăng tiến bản thân, phát triển lên các vị trí cao hơn trong hệ thống tổ chức.</li><li>Làm việc trong môi trường chuyên nghiệp, năng động, nhiều cơ hội phát triển năng lực bản thân, đãi ngộ dựa trên năng lực và sự nhiệt tình sáng tạo của từng thành viên.</li></ul></div>","https://cdn.topcv.vn/80/company_logos/cong-ty-co-phan-giai-phap-va-cong-nghe-vietnix-624e5b3f74427.jpg","265 Hồng Lạc, Phường 10, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam"
"CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO CTECH","https://c2tech.vn/"," 10-24 nhân viên","<p>Công ty CP công nghệ cao CTECH (gọi tắt là CTECH) là một thành viên của ACUD GROUP (http://www.acudgroup.vn ). Công ty CTECH là công ty hoạt động nghiên cứu, tư vấn, đào tạo và chuyển giao ứng dụng khoa học công nghệ trong lĩnh vực Xây dựng như:</p>","https://www.topcv.vn/viec-lam/lap-trinh-vien-back-end/934594.html?ta_source=JobSearchList","Lập Trình Viên Back-End"," Hạn nộp hồ sơ: 19/03/2023","15-30 triệu","Toàn thời gian","Không yêu cầu","5 người","Nhân viên","2 năm","- Hà Nội: Tòa vinaconex 1, ngõ 289A Khuất Duy Tiến, Cầu Giấy, Hà Nội, Cầu Giấy","<div class=""content-tab""><ul><li>Tham gia phát triển API cho các sản phẩm bằng .NET/NodeJS</li><li> Phát triển và nghiên cứu các tính năng mới cho app.</li><li> Phân tích thiết kế kiến trúc hệ thống, thiết kế DB</li><li>Nghiên cứu nắm bắt công nghệ mới thích hợp để giải quyết vấn đề.</li><li>Triển khai sản phẩm, chủ động sáng tạo tính năng mới dựa trên định hướng chung của công ty.</li><li>Viết các tài liệu kỹ thuật liên quan đến dự án.</li><li>Chịu trách nhiệm về tiến độ và chất lượng công việc, báo cáo hàng ngày/tuần/tháng trực tiếp cho người quản lý</li></ul><p><br></p></div>","<div class=""content-tab""><ul><li>Tốt nghiệp CĐ/ĐH chuyên ngành CNTT hoặc các chuyên ngành liên quan, hoặc có chứng chỉ tương đương.</li><li>Thành thạo .NET Core/NodeJS (tối thiểu 2 năm kinh nghiệm), ưu tiên các ứng viên đã có kinh nghiệm đối với cả hai nền tảng .NET Core và NodeJS.</li><li>Thành thạo thiết kế OOP, (design pattern là lợi thế)</li><li>Thành thạo .NET, C# hoặc NodeJs</li><li>Am hiểu hệ thống quản trị cơ sở dữ liệu như MS SQL, PostgreSQL</li><li>Có kiến thức về Restful API;</li><li>Biết sử dụng công cụ quản lý source code GIT</li><li>Có tinh thần trách nhiệm, chủ động với công việc và đồng nghiệp; sẵn sàng học hỏi cái mới.</li><li>Có khả năng làm việc độc lập hoặc làm việc theo nhóm và chịu được áp lực công việc cao.</li><li>Tiếng Anh đọc hiểu tài liệu.</li><li>Thành thạo PostgreSQL, Postgis extention hoặc có kinh nghiệm lập trình GIS là lợi thế.</li></ul></div>","<div class=""content-tab""><ul><li>Mức lương 15tr-30tr tùy vào năng lực.</li><li>Thưởng lễ, tết, tháng lương 13, KPI, và các chế độ khác theo quy định của Pháp luật hiện hành.</li><li>Teambuilding định kỳ, du lịch hàng năm<br>Thời gian &amp; địa điểm làm việc:</li><li>8h30 – 17h30 Từ thứ 2 đến thứ 6, một tháng làm hai thứ 7.</li><li>Tòa vinaconex 1, ngõ 289A Khuất Duy Tiến, Cầu Giấy, Hà Nội</li><li>Phỏng vấn 1 vòng trực tiếp với Giám Đốc.</li></ul><p><br></p></div>","https://cdn.topcv.vn/80/company_logos/NwlpoY7viYkJeuKHF33PnEJvz5dLCCr7_1640314622____06d4df0c2204c7dd9370174318c5c792.png","Số nhà 3, ngõ 42, phố An Dương - Phường Yên Phụ - Quận Tây Hồ - Hà Nội"
"Công Ty TNHH Tester Việt"," "," 25-99 nhân viên","<p>Hiện nay Việt Nam chưa có một chương trình đào tạo chuyên sâu và mang tính định hướng nghề nghiệp nào về kiểm thử phần mềm. Trong khi đó ngoài nhu cầu xây dựng đội ngũ kiểm thử phần mềm ứng dụng cho các dự án phát triển phần mềm trong nước thì hiện nay các dự án phát triển phần mềm (Soft ware testing outsourcing) cũng đang phát triển nhanh.
</p>","https://www.topcv.vn/viec-lam/nhan-vien-kiem-thu-phan-mem-tester/790387.html?ta_source=JobSearchList","Nhân Viên Kiểm Thử Phần Mềm (Tester)"," Hạn nộp hồ sơ: 08/03/2023","Thoả thuận","Toàn thời gian","Không yêu cầu","20 người","Nhân viên","1 năm","- Hà Nội: Nhà 11 ngõ 28 Ngụy Như Kon Tum, Nhân Chính Thanh Xuân HN, Thanh Xuân","<div class=""content-tab""><p>Tham gia vào việc test các dự án phần mềm tùy quy mô dự án.<br>• Lập kế hoạch kiểm thử, phân công công việc, giám sát tiến độ công việc của team trong dự án.<br>• Chịu trách nhiệm về kiểm soát chất lượng các sản phẩm của Công ty trước khi bàn giao cho khách hàng.<br>• Hiểu rõ các yêu cầu chức năng của các sản phẩm của Công ty</p></div>","<div class=""content-tab""><p><strong>Yêu cầu từ 1 năm kinh nghiệm thực tế về manual&nbsp;</strong><br>• Nắm rõ kiến thức về các phương pháp, công cụ test<br>• Viết các tài liệu test design tốt<br>- Ưu tiên các ứng viên đã làm các dự án có nghiệp vụ cao, sử dụng cả web &nbsp;và mobile<br>- Ưu tiên các bạn làm được với CSDL: SQL</p></div>","<div class=""content-tab""><p><b>Thu nhập thỏa thuận theo năng lực từ 10 triệu đến 50 triệu + thưởng lương mềm<br>• Thưởng tết 1 tháng lương thứ 13<br>• Thưởng ngày lễ 500k.</b><br>• Hưởng chính sách xét lương 2 lần/ năm và đột xuất nếu hoàn thành xuất sắc nhiệm vụ;<br>• Chính sách thưởng KPI Hoàn thành dự án theo quy định chung của công ty.<br>• Hưởng đầy đủ các chính sách và chế độ như: BHYT, BHXH, BHTN,.. theo đúng quy định của Bộ Luật Lao động và của Công ty;<br>• Hưởng chế độ nghỉ mát 1 lần/năm, có chế độ thăm hỏi sức khỏe cho bản thân và người nhà theo Chính sách đãi ngộ của Công ty<br>&nbsp;</p></div>","https://cdn.topcv.vn/80/company_logos/cong-ty-tnhh-tester-viet-5d105234bcaea.jpg","Nhà 14 ngõ 28 Phố Ngụy Như Kon Tum, Thanh Xuân, Hà Nội"
"Công ty TNHH Mageplaza"," "," "," ","https://www.topcv.vn/brand/mageplaza/tuyen-dung/lap-trinh-vien-nodejs-tai-ha-noi-j847297.html?ta_source=JobSearchList","Lập Trình Viên Nodejs Tại Hà Nội"," "," "," "," "," "," "," "," "," "," "," "," "," "
"CÔNG TY CỔ PHẦN CÔNG NGHỆ SỐ THIÊN QUANG","http://hostingviet.vn/"," 25-99 nhân viên","<p>Công ty Cổ phần Công nghệ số Thiên Quang (Thien Quang Digital technology joint stock company) thành lập năm 2015, tiền thân là Công ty cổ phần IT-Hà Nội (được thành lập vào năm 2012) với 6 thành viên sáng lập có kinh nghiệm và đam mê về CNTT và kinh doanh. Các thành viên với nền tảng chuyên ngành công nghệ thông tin, đã và đang làm việc trong môi trường quốc tế (Anh, Mỹ, Nhật), từng có kinh nghiệm trong việc điều hành công ty và tham gia làm việc trên thị trường lao động quốc tế. Cả 6 thành viên sáng lập đều có kiến thức nền tảng CNTT. Trong đó, có 2 thành viên có chuyên ngành về quản trị kinh doanh, một thành viên có chuyên ngành ngân hàng và đang học tiến sỹ về tài chính năm cuối tại Nhật. Với đội ngũ nền tảng như vậy, chúng tôi kiên trì xây dựng một tập thể vững mạnh, xây dựng một dịch vụ ưu việt, cung cấp những sản phẩm CNTT đáp ứng tốt nhu cầu của khách hàng.
</p>","https://www.topcv.vn/viec-lam/truong-nhom-quan-tri-he-thong-upto-400-trieu-nam/925289.html?ta_source=JobSearchList","Trưởng Nhóm Quản Trị Hệ Thống (Upto 400 Triệu/Năm)"," Hạn nộp hồ sơ: 28/02/2023","Tới 35 triệu","Toàn thời gian","Không yêu cầu","2 người","Trưởng nhóm","3 năm","- Hà Nội: Tòa nhà Kim Ánh, ngõ 78 Duy Tân, Cầu Giấy","<div class=""content-tab""><ul><li>Xây dựng và vận hành hệ thống máy chủ ở các nền tảng Openstack, VMWare, SolusVM, Proxmox, vmware, nutanix…</li><li>Hỗ trợ khách hàng sử dụng hạ tầng Cloud, Server riêng;</li><li>Nghiên cứu: triển khai các giải pháp Logging, Monitoring, Security, tích hợp các giải pháp Storage, Load Balancing;</li><li>Nghiên cứu công nghệ mới;</li><li>Phòng ngừa và chống các cuộc tấn công mạng;</li><li>Lên kế hoạch phòng chống sự cố. Giám sát và khắc phục sự cố liên quan;</li></ul></div>","<div class=""content-tab""><ul><li>Có kiến thức tốt về bảo mật.</li><li>Có kinh nghiệm &amp; kiến thức về các nền tảng cloud: Openstack, VMWare, SolusVM, Proxmox, vmware, nutanix…</li><li>Thành thạo Linux, nắm rõ các service: Web Service, Mail Service, DNS, Firewall, Database…</li><li>Có kiến thức về HA, LB, Proxy, VPN…</li><li>Có kiến thức Network, TCP/IP là lợi thế.</li><li>Có ít nhất 3 năm kinh nghiệm làm việc vị trí tương đương.</li><li>Có kinh nghiệm vận hành hệ thống Cloud là một lợi thế.</li></ul></div>","<div class=""content-tab""><ul><li>Thời gian làm việc: Thứ 2 - Thứ 6</li><li>Nghỉ trưa 1h30p và giải lao giữa giờ 20p</li><li>Có cơ hội thăng tiến và phát triển tương lai tại công ty;</li><li>Môi trường làm việc chuyên nghiệp và năng động, tạo điều kiện tối đa để nhân viên phát triển kỹ năng bản thân;</li><li>Cung cấp trang thiết bị đầy đủ để phục vụ công việc;</li><li>Thưởng các dịp Quốc tế Lao động 1/5, Quốc khánh 2/9, Tết dương lịch, &nbsp;Tết &nbsp;âm lịch,...</li><li>Được đóng đầy đủ BHXH, BHYT, BHTN;</li><li>Teambuilding, du lịch nghỉ mát hàng năm;</li><li>Tham gia các hoạt động văn hoá thể thao (bóng đá, văn nghệ...), các hoạt động vui chơi, giải trí tăng tinh thần đoàn kết;</li><li>Tính chất công việc ổn định, văn hóa công ty thân thiện.</li></ul></div>","https://cdn.topcv.vn/80/company_logos/cong-ty-co-phan-cong-nghe-so-thien-quang-5f645d8c7ef40.jpg","Tòa nhà Kim Ánh, ngõ 78 Duy Tân, Cầu Giấy, HN"
"Công ty TNHH Công nghệ thông tin và viễn thông Dolphin","https://dolphin-vc.com/"," 10-24 nhân viên","<p>Công ty TNHH Công nghệ Thông tin và Viễn thông Dolphin (Dolphin Technologies) được thành lập từ năm 2012, hoạt động trong lĩnh vực công nghệ thông tin và cung cấp các dịch vụ về phần mềm và phần cứng cho những đối tác có nhu cầu.</p>","https://www.topcv.vn/viec-lam/lap-trinh-vien-android/936002.html?ta_source=JobSearchList","Lập Trình Viên Android"," Hạn nộp hồ sơ: 21/03/2023","Thoả thuận","Toàn thời gian","Nam","2 người","Nhân viên","1 năm","- Hà Nội: 81 Lê Đức Thọ, Mỹ Đình 2, Nam Từ Liêm, Hà Nội, Nam Từ Liêm","<div class=""content-tab""><p>- Tham gia với các thành viên trong team dự án cùng thảo luận và xây dựng sản phẩm cho các nền tảng android mobile, android TV hoặc các mainboard sử dụng HDH Android.<br>- Phối hợp với Backend, designer UI/UX, tester,… để hoàn thành công việc.<br>- Có tinh thần ham cầu thị, không giới hạn khả năng của bản thân, sẵn sàng với các thử thách mới trong công việc.</p></div>","<div class=""content-tab""><p>⁃ Có kinh nghiệm phát triển sản phẩm android từ 1 năm trở lên<br>⁃ Sử dụng thành thạo ngôn ngữ Kotlin, Java<br>⁃ Có kinh nghiệm tích hợp các sản phẩm của Firebase<br>- Có kinh nghiệm với bộ thư viện Jetpack Components<br>⁃ Có kiến thức về design Pattern, có kinh nghiệm với các architecture như MVVM, MVP, MVC,…<br>⁃ Có khả năng đọc/hiểu tài liệu tiếng Anh.<br>⁃ Có kinh nghiệm làm việc nhóm là một lợi thế<br>⁃ Có kiến thức về flutter là một lợi thế</p></div>","<div class=""content-tab""><p>- Bảo hiểm xã hội, bảo hiểm y tế đầy đủ<br>⁃ Thu nhập cạnh tranh<br>⁃ Thời gian làm việc linh động. Từ T2 đến sáng T7 (nghỉ chiều T7 và Chủ nhật)<br>⁃ Tháng lương 13 + thưởng theo kết quả kinh doanh<br>⁃ Thưởng vào các dịp lễ tết 30/4, 1/5, 2/9, tết dương lịch,..<br>⁃ Được đào tạo, nâng cao cùng các đồng nghiệp nhiều năm kinh nghiệm trong ngành.<br>⁃ Được đề xuất thay đổi vị trí để trải nghiệm, nâng cao kiến thức kĩ năng của bản thân.<br>⁃ Du lịch thường niên và các hoạt động teams up khác.</p></div>","https://cdn.topcv.vn/80/company_logos/cong-ty-tnhh-cong-nghe-thong-tin-va-vien-thong-dolphin-62a801a8a2d03.jpg","Số C3, ngách 39, ngõ 106 đường Hoàng Quốc Việt, phường Nghĩa Tân, quận Cầu Giấy, thành phố Hà Nội"
"CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO CTECH","https://c2tech.vn/"," 10-24 nhân viên","<p>Công ty CP công nghệ cao CTECH (gọi tắt là CTECH) là một thành viên của ACUD GROUP (http://www.acudgroup.vn ). Công ty CTECH là công ty hoạt động nghiên cứu, tư vấn, đào tạo và chuyển giao ứng dụng khoa học công nghệ trong lĩnh vực Xây dựng như:</p>","https://www.topcv.vn/viec-lam/lap-trinh-vien-mobile/934598.html?ta_source=JobSearchList","Lập Trình Viên Mobile"," Hạn nộp hồ sơ: 19/03/2023","20-30 triệu","Toàn thời gian","Không yêu cầu","10 người","Nhân viên","2 năm","- Hà Nội: Tòa vinaconex 1, ngõ 289A Khuất Duy Tiến, Cầu Giấy, Hà Nội, Cầu Giấy","<div class=""content-tab""><ul><li>Lập trình các sản phẩm Mobile App Android/iOS.</li><li>Phát triển và nghiên cứu các tính năng mới cho app.</li><li>Nghiên cứu nắm bắt công nghệ mới thích hợp để giải quyết vấn đề.</li><li>Triển khai sản phẩm, chủ động sáng tạo tính năng mới dựa trên định hướng chung của công ty.</li><li>Viết các tài liệu kỹ thuật liên quan đến dự án.</li><li>Chịu trách nhiệm về tiến độ và chất lượng công việc, báo cáo hàng ngày/tuần/tháng trực tiếp cho người quản lý</li></ul><p><br></p></div>","<div class=""content-tab""><ul><li>Tốt nghiệp CĐ/ĐH chuyên ngành CNTT hoặc các chuyên ngành liên quan, hoặc có chứng chỉ tương đương</li><li>Kinh nghiệm 1 - 2 năm làm việc với Kotlin (Android), Swift (iOS).</li><li>Có kinh nghiệm với các mô hình MVP, MVVM, biết modular architecture là lợi thế.</li><li>Nắm được các kiến thức về customview, xử lý layout, thread, service, broadcast receiver,…</li><li> Có kinh nghiệm lưu trữ dữ liệu offline, quản lý bộ nhớ, xử lý đa luồng.</li><li>Có kinh nghiệm làm việc với các Third-Party, Library.</li><li>Có kinh nghiệm làm việc với SERVER SIDE, BLE, RESTFUL API.</li><li>Biết sử dụng công cụ quản lý source code GIT</li><li>Có tinh thần trách nhiệm, chủ động với công việc và đồng nghiệp; sẵn sàng học hỏi cái mới.</li><li>Có khả năng làm việc độc lập hoặc làm việc theo nhóm và chịu được áp lực công việc cao</li><li> Tiếng Anh đọc hiểu tài liệu<br>Có một trong các tiêu chí sau đây là lợi thế:</li><li>Có kiến thức về UI/UX.</li><li>Có sản phẩm được public trên Store.</li><li>Biết Sử dụng Adobe Photoshop, Adobe Illustrator, Adobe Premiere.</li><li>Biết sử dụng google API, SDK để xử lý bản đồ là lợi thế.</li></ul></div>","<div class=""content-tab""><ul><li>&nbsp;Mức lương 20tr-30tr tùy vào năng lực.</li><li>Thưởng lễ, tết, tháng lương 13, KPI, và các chế độ khác theo quy định của Pháp luật hiện hành.</li><li>Teambuilding định kỳ, du lịch hàng năm<br>Thời gian &amp; địa điểm làm việc:</li><li>Từ thứ 2 đến thứ 6, và 1 tháng làm 2 thứ 7.</li><li>Tòa vinaconex 1, ngõ 289A Khuất Duy Tiến, Cầu Giấy, Hà Nội</li><li>Phỏng vấn 1 vòng với Giám Đốc</li></ul><p><br></p></div>","https://cdn.topcv.vn/80/company_logos/NwlpoY7viYkJeuKHF33PnEJvz5dLCCr7_1640314622____06d4df0c2204c7dd9370174318c5c792.png","Số nhà 3, ngõ 42, phố An Dương - Phường Yên Phụ - Quận Tây Hồ - Hà Nội"
"CÔNG TY CỔ PHẦN APZON IRS VIỆT NAM","https://irsvietnam.com/contact/"," 25-99 nhân viên","<p>APZON IRS Việt Nam được thành lập từ 2005, và là một trong những đối tác SAP Business One đầu tiên của SAP (từ 2007). Cho đến nay, APZON IRS Việt Nam vẫn đang tập trung vào sản phẩm và giải pháp dựa trên nền tảng SAP Business One mang lại cho khách hàng các giải pháp chuyển đổi số hoàn hảo.</p>","https://www.topcv.vn/viec-lam/lap-trinh-vien-erp-developer-tai-hn-hcm/927832.html?ta_source=JobSearchList","Lập Trình Viên ERP (Developer) Tại HN, HCM"," Hạn nộp hồ sơ: 12/03/2023","17-50 triệu","Toàn thời gian","Không yêu cầu","4 người","Nhân viên","2 năm","- Hồ Chí Minh: Tầng 8, tòa WMC, 102abc Cống Quỳnh, Phường Phạm Ngũ Lão, Quận 1, Quận 1","<div class=""content-tab""><ul><li>Tham gia xây dựng, phát triển sản phẩm phần mềm quản trị doanh nghiệp (ERP) của công ty</li><li>Tham gia vào quá trình phân tích, thiết kế hệ thống cho sản phẩm ERP của công ty</li><li>Giải quyết các thách thức của các bài toán dữ liệu lớn cho các dịch vụ điện toán đám mây của công ty</li><li>Kiểm thử chức năng, sửa lỗi chương trình</li><li>Nghiên cứu, tìm hiểu, đề xuất giải pháp cho các dự án được giao</li><li>Viết tài liệu kỹ thuật.</li></ul></div>","<div class=""content-tab""><ul><li>Tốt nghiệp chuyên ngành công nghệ thông tin, hoặc các trường đào tạo Lập trình viên</li><li>Sử dụng thành thạo ASP. NET, C Sharp, Visual Studio.NET, .NET Framework, MS SQL, ADO.NET, Dev Express</li><li>Thành thạo HTML5, JQUERY, CSS</li><li>Ưu tiên biết về T-SQL.</li><li>Có kinh nghiệm 2 năm trở lên.</li></ul></div>","<div class=""content-tab""><ul><li>Thứ 2 đến thứ 6 (từ 08:00 giờ đến 12:00 giờ; từ 13:00 giờ đến 17:00 giờ)</li><li>Lương cạnh tranh, thỏa thuận theo năng lực, điều chỉnh lương: 2 lần/năm.</li><li>Lương tháng 13</li><li>Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp theo luật bảo hiểm</li><li>Bảo hiểm sức khoẻ Bảo Việt (Với nhân viên thâm niên &gt; 3 năm)</li><li>Ngày phép: 12 ngày/năm.</li><li>Du lịch hàng năm</li><li>Công tác phí (khi đi onsite các dự án)</li><li>Thưởng vào các dịp lễ, tết.</li><li>Tài trợ tham gia các hoạt động thể thao.</li></ul></div>","https://cdn.topcv.vn/80/company_logos/cong-ty-co-phan-apzon-irs-viet-nam-61cd58d408742.jpg","Tầng 10, Tòa nhà Văn phòng Nam Cường, Km4, đường Lê Văn Lương kéo dài, Phường La Khê, Quận Hà Đông, TP Hà Nội"
